Country Name,Country Code,Time,Time Code,Access to Clean Fuels and Technologies for cooking (% of total population) [2.1_ACCESS.CFT.TOT],Access to electricity (% of rural population with access) [1.2_ACCESS.ELECTRICITY.RURAL],Access to electricity (% of total population) [1.1_ACCESS.ELECTRICITY.TOT],Access to electricity (% of urban population with access) [1.3_ACCESS.ELECTRICITY.URBAN],Energy intensity level of primary energy (MJ/2011 USD PPP) [6.1_PRIMARY.ENERGY.INTENSITY],Renewable electricity output (GWh) [4.1.2_REN.ELECTRICITY.OUTPUT],Renewable electricity share of total electricity output (%) [4.1_SHARE.RE.IN.ELECTRICITY],Renewable energy consumption (TJ) [3.1_RE.CONSUMPTION],Renewable energy share of TFEC (%) [2.1_SHARE.TOTAL.RE.IN.TFEC],Total electricity output (GWh) [4.1.1_TOTAL.ELECTRICITY.OUTPUT],Total final energy consumption (TFEC) (TJ) [1.1_TOTAL.FINAL.ENERGY.CONSUM]
Afghanistan,AFG,1990,YR1990,..,..,0.00999999977648258,52.0369758605957,1.88411277331996,764,67.7304964539007,6312.392,15.9245316828932,1128,39639.42002
Afghanistan,AFG,1991,YR1991,..,..,0.00999999977648258,53.8098373413086,1.99591306318908,690,67.9802955665025,6361.651,17.0364435282942,1015,37341.426275
Afghanistan,AFG,1992,YR1992,..,..,0.00999999977648258,55.5825233459473,1.33250174740999,478,67.9943100995733,6546.363,26.5216286544368,703,24683.11085
Afghanistan,AFG,1993,YR1993,..,..,0.00999999977648258,57.3541793823242,1.76063654184963,475,68.3453237410072,7849.649,30.5856670489932,695,25664.468875
Afghanistan,AFG,1994,YR1994,..,..,0.00999999977648258,59.1237754821777,2.24561299646338,472,68.7045123726346,8305.308,32.7962505504008,687,25323.95582
Afghanistan,AFG,1995,YR1995,..,..,0.00999999977648258,60.8902778625488,1.48569193557955,466,69.037037037037,8771.985,35.0756402917937,675,25008.76656
Afghanistan,AFG,1996,YR1996,..,..,0.00999999977648258,62.652660369873,1.54847691566463,475,70.3703703703704,9304.887,37.9457475001443,675,24521.554095
Afghanistan,AFG,1997,YR1997,..,..,0.00999999977648258,64.4098892211914,1.59923664309762,485,72.3880597014925,9861.213,41.4326008731029,670,23800.613025
Afghanistan,AFG,1998,YR1998,..,..,0.0219771377742291,66.1609344482422,1.64897788583862,495,74.4360902255639,10254.29,44.0943368543633,665,23255.344635
Afghanistan,AFG,1999,YR1999,..,..,0.179634585976601,67.9047622680664,1.57068110175532,505,73.7226277372263,10765.99,52.1857743728053,685,20630.12407
Afghanistan,AFG,2000,YR2000,8.8,..,0.959755897521973,69.640983581543,1.68617312382687,515.7,74.9890940817217,11301.39,54.2431263698384,687.7,20834.695115
Afghanistan,AFG,2001,YR2001,9.51,..,0.77653694152832,71.3717803955078,1.8273988865553,503.2,72.8114599913182,11510.28,54.0550550388989,691.1,21293.62368
Afghanistan,AFG,2002,YR2002,10.39,..,6.26739358901977,73.099967956543,1.36028256182598,571,79.0639711991138,11997.1,43.7711485658802,722.2,27408.69361
Afghanistan,AFG,2003,YR2003,11.46,..,11.7519664764404,74.8283538818359,1.32502825287787,647,70.2497285559175,12635.1,42.2761408803626,976,29887.07043
Afghanistan,AFG,2004,YR2004,12.43,..,17.2363185882568,76.5597610473633,1.14399635836639,565,70.8908406524467,12869.72,49.8431476956196,780,25820.43991
Afghanistan,AFG,2005,YR2005,13.49,13,23,74,1.26764724208131,671,74.0618101545254,13245.71,40.8591712168299,906,32417.960535
Afghanistan,AFG,2006,YR2006,14.81,12.5438634739485,28.2286128997803,80.0428924560547,1.40862313227307,646,70.7557502738226,14324.37,37.1372494911803,913,38571.43487
Afghanistan,AFG,2007,YR2007,15.99,18.9162228544509,33.7486801147461,81.8002548217774,1.46093757483826,684,72,15270.5,33.8625788265031,950,45095.50226
Afghanistan,AFG,2008,YR2008,17.44,32.5,42.4,89.9,2.14758991176544,541,68.6548223350254,15312.85,21.3437080759002,788,71744.09407
Afghanistan,AFG,2009,YR2009,18.84,31.8451566296939,44.8548851013184,85.3545074462891,2.61706039799516,775,87.1766029246344,16854.19,17.8138547564602,889,94612.818115
Afghanistan,AFG,2010,YR2010,20.68,32.4,42.7,82.8,2.93993655831435,767,85.9865470852018,19578.7,14.8398059645804,892,131933.665755
Afghanistan,AFG,2011,YR2011,22.33,33.3801103938629,43.2220189082037,86.5677791512155,3.7559233122206,829,82.4875621890547,20435.21,11.4827062291243,1005,177965.10328
Afghanistan,AFG,2012,YR2012,24.08,63.8,69.1,95,2.98475717572819,878,85.9099804305284,22561.36,13.9735856888609,1022,161457.19862
Afghanistan,AFG,2013,YR2013,26.17,58.4236674312945,67.2595520019531,92.5772933959961,2.75118171303033,803.9,78.6364080993837,22073.09,16.3342925084743,1022.3,135133.431635
Afghanistan,AFG,2014,YR2014,27.99,87.8,89.5,98.7,2.63753256874586,895.3,85.3235490326885,24448.73,19.3142686133983,1049.3,126583.77332
Afghanistan,AFG,2015,YR2015,30.1,64.2,71.5,92.5,2.45770500221765,889.5,86.0501112508465,25134.53,18.4234771693218,1033.7,136426.63526
Afghanistan,AFG,2016,YR2016,32.44,78.9610743548116,84.1371383666992,98.0384140014648,..,..,..,..,..,..,..
Bahrain,BHR,1990,YR1990,..,..,..,..,12.484085388068,0,0,0,0,7989,43713.164628
Bahrain,BHR,1991,YR1991,..,..,..,..,11.0482784772465,0,0,0,0,7403,40668.607404
Bahrain,BHR,1992,YR1992,..,..,..,..,11.3928552528099,0,0,0,0,9872,51482.190708
Bahrain,BHR,1993,YR1993,..,..,..,..,10.6379141212668,0,0,0,0,11807,60050.2257
Bahrain,BHR,1994,YR1994,..,..,..,..,11.3359088985833,0,0,0,0,11418,59159.525868
Bahrain,BHR,1995,YR1995,..,..,..,..,11.0449731456256,0,0,0,0,11648,61947.68346
Bahrain,BHR,1996,YR1996,..,..,..,..,10.6053815875841,0,0,0,0,12235,64190.677824
Bahrain,BHR,1997,YR1997,..,..,..,..,11.596399471619,0,0,0,0,12641,67897.419336
Bahrain,BHR,1998,YR1998,..,..,..,..,11.6268159232025,0,0,0,0,13502,72331.701084
Bahrain,BHR,1999,YR1999,..,..,..,..,11.0449998683993,0,0,0,0,13530,71371.793448
Bahrain,BHR,2000,YR2000,100,..,..,..,11.0783812618698,0,0,0,0,13859,72941.257296
Bahrain,BHR,2001,YR2001,100,100,100,100,11.1076532290011,0,0,0,0,14618,77321.864268
Bahrain,BHR,2002,YR2002,100,100,100,100,11.1155572828726,0,0,0,0,15258,82494.19512
Bahrain,BHR,2003,YR2003,100,100,100,100,11.122523232007,0,0,0,0,15702,87163.10514
Bahrain,BHR,2004,YR2004,100,100,100,100,10.436212185439,0,0,0,0,16150,91263.992004
Bahrain,BHR,2005,YR2005,100,100,100,100,11.2235310594949,0,0,0,0,19373,107917.9101
Bahrain,BHR,2006,YR2006,100,100,100,100,11.2933414703297,0,0,0,0,21042,114616.287684
Bahrain,BHR,2007,YR2007,100,100,100,100,10.9121706692551,0,0,0,0,21727,120207.717216
Bahrain,BHR,2008,YR2008,100,100,100,100,11.1342166842842,0,0,0,0,22824,126332.586936
Bahrain,BHR,2009,YR2009,100,100,100,100,10.5459446541361,0,0,0,0,22561,125552.376756
Bahrain,BHR,2010,YR2010,100,100,100,100,10.4491991326449,0,0,0,0,23824,140457.51036
Bahrain,BHR,2011,YR2011,100,100,100,100,10.2370135888467,0,0,0,0,24338,141201.50472
Bahrain,BHR,2012,YR2012,100,100,100,100,9.79422094964858,0,0,0,0,24775,140139.146088
Bahrain,BHR,2013,YR2013,100,100,100,100,10.1388268335799,0,0,0,0,25916,170118.015732
Bahrain,BHR,2014,YR2014,100,100,100,100,9.92276924601324,0,0,0,0,27253,184581.944352
Bahrain,BHR,2015,YR2015,100,100,100,100,9.78520977075594,0,0,0,0,28484,191733.4593
Bahrain,BHR,2016,YR2016,100,100,100,100,..,..,..,..,..,..,..
Bangladesh,BGD,1990,YR1990,..,..,8.54437446594238,65.9839782714844,3.89946975846881,884,11.4330056906363,285257.2,71.6649713034591,7732,398042.718516
Bangladesh,BGD,1991,YR1991,..,4.57,14.29,58.060595224431,3.71422440464463,838,10.1330108827086,285111.2,73.159667324204,8270,389710.90278
Bangladesh,BGD,1992,YR1992,..,..,13.4442501068115,68.1169586181641,3.71803957750277,796,8.94985383404542,289650.4,71.6607037258685,8894,404196.979572
Bangladesh,BGD,1993,YR1993,..,1.7538090956016,15.8908739089966,69.1823348999023,3.7489666638252,608,6.60438844232023,291504,70.5571230240722,9206,413146.0971
Bangladesh,BGD,1994,YR1994,..,10.4,17.8,75.2,3.76898343134996,847,8.65699100572363,298184.8,68.9799071851049,9784,432277.763436
Bangladesh,BGD,1995,YR1995,..,6.76098690403924,20.7627086639404,71.3058700561523,3.90083341084756,372,3.44253192670738,298192.5,63.8028091687192,10806,467365.78512
Bangladesh,BGD,1996,YR1996,..,9.25869218601573,23.1817989349365,72.3619689941406,3.7541441889387,739,6.44064842252048,288364.5,62.1240765978699,11474,464175.108576
Bangladesh,BGD,1997,YR1997,..,15.1,22.4,79.5,3.75324407139327,719,6.06341710237814,298032.2,59.9728561221059,11858,496945.150308
Bangladesh,BGD,1998,YR1998,..,14.227779951174,27.9710369110107,74.4576721191406,3.72007096007324,865,6.71479583915541,302920.9,60.2339712856559,12882,502907.069772
