Country Name,Country Code,Time,Time Code,Access to Clean Fuels and Technologies for cooking (% of total population) [2.1_ACCESS.CFT.TOT],Access to electricity (% of rural population with access) [1.2_ACCESS.ELECTRICITY.RURAL],Access to electricity (% of total population) [1.1_ACCESS.ELECTRICITY.TOT],Access to electricity (% of urban population with access) [1.3_ACCESS.ELECTRICITY.URBAN],Energy intensity level of primary energy (MJ/2011 USD PPP) [6.1_PRIMARY.ENERGY.INTENSITY],Renewable electricity output (GWh) [4.1.2_REN.ELECTRICITY.OUTPUT],Renewable electricity share of total electricity output (%) [4.1_SHARE.RE.IN.ELECTRICITY],Renewable energy consumption (TJ) [3.1_RE.CONSUMPTION],Renewable energy share of TFEC (%) [2.1_SHARE.TOTAL.RE.IN.TFEC],Total electricity output (GWh) [4.1.1_TOTAL.ELECTRICITY.OUTPUT],Total final energy consumption (TFEC) (TJ) [1.1_TOTAL.FINAL.ENERGY.CONSUM]
Brunei Darussalam,BRN,1990,YR1990,..,100,100,100,3.65100311581921,0,0,93.99366,0.671759471210095,1172,13992.159996
Brunei Darussalam,BRN,1991,YR1991,..,100,100,100,4.00254373312049,0,0,63.9743,0.432168224450779,1269,14803.101288
Brunei Darussalam,BRN,1992,YR1992,..,100,100,100,4.1082543703472,0,0,33.99682,0.205761341081909,1407,16522.452576
Brunei Darussalam,BRN,1993,YR1993,..,100,100,100,3.94277830332402,0,0,0,0,1548,17778.701916
Brunei Darussalam,BRN,1994,YR1994,..,100,100,100,3.54673639627826,0,0,0,0,1663,19213.392672
Brunei Darussalam,BRN,1995,YR1995,..,100,100,100,4.06735372675021,0,0,0,0,1966,20959.95816
Brunei Darussalam,BRN,1996,YR1996,..,100,100,100,3.97984261753074,0,0,0,0,2123,23077.85094
Brunei Darussalam,BRN,1997,YR1997,..,100,100,100,4.17169841644629,0,0,0,0,2407,25437.908232
Brunei Darussalam,BRN,1998,YR1998,..,100,100,100,4.17743655097383,0,0,0,0,2504,23906.167452
Brunei Darussalam,BRN,1999,YR1999,..,100,100,100,4.13322895473793,0,0,0,0,2434,23144.253588
Brunei Darussalam,BRN,2000,YR2000,100,100,100,100,4.04010435369227,0,0,0,0,2543,23137.680312
Brunei Darussalam,BRN,2001,YR2001,100,100,100,100,3.64071618527032,0,0,0,0,2579,22406.832504
Brunei Darussalam,BRN,2002,YR2002,100,100,100,100,3.42504653839429,0,0,0,0,2701,23378.588784
Brunei Darussalam,BRN,2003,YR2003,100,100,100,100,3.86458633999396,0,0,0,0,3191,24592.760784
Brunei Darussalam,BRN,2004,YR2004,100,100,100,100,3.52555904340798,0,0,0,0,3264,25371.631188
Brunei Darussalam,BRN,2005,YR2005,100,100,100,100,3.39145517387479,0,0,0,0,3264,25308.494244
Brunei Darussalam,BRN,2006,YR2006,100,100,100,100,4.6160590190786,0,0,0,0,3298,58325.68278
Brunei Darussalam,BRN,2007,YR2007,100,100,100,100,4.71966368423846,0,0,0,0,3395,59703.684264
Brunei Darussalam,BRN,2008,YR2008,100,100,100,100,5.28345330455794,0,0,0,0,3423,62900.012988
Brunei Darussalam,BRN,2009,YR2009,100,100,100,100,4.61948047393984,0,0,0,0,3612,45406.180944
Brunei Darussalam,BRN,2010,YR2010,100,100,100,100,4.79474666741662,0,0,0,0,3792,34960.40802
Brunei Darussalam,BRN,2011,YR2011,100,100,100,100,5.54070116235544,2,0.0536912751677852,5.923443,0.0158307398523535,3725,37417.347864
Brunei Darussalam,BRN,2012,YR2012,100,100,100,100,5.42793790677772,2,0.0508905852417303,5.878309,0.0147907916784319,3930,39743.031528
Brunei Darussalam,BRN,2013,YR2013,100,100,100,100,4.38822365597014,2,0.0454338936846888,5.16132,0.013528142510792,4402,38152.466208
Brunei Darussalam,BRN,2014,YR2014,100,100,100,100,4.74992244831422,2,0.0443852640923213,5.365007,0.0139761914390522,4506,38386.759536
Brunei Darussalam,BRN,2015,YR2015,100,100,100,100,3.65225820025726,2,0.0476190476190476,5.814209,0.0149350358914578,4200,38929.996836
Brunei Darussalam,BRN,2016,YR2016,100,100,100,100,..,..,..,..,..,..,..
Cambodia,KHM,1990,YR1990,..,..,0.00999999977648258,34.8330078125,14.2810585254657,0,0,0,..,..,0
Cambodia,KHM,1991,YR1991,..,..,0.105638802051544,37.4694137573242,13.2824056498937,0,0,0,..,..,0
Cambodia,KHM,1992,YR1992,..,..,0.477305948734283,40.1056480407715,12.4023422200781,0,0,0,..,..,0
Cambodia,KHM,1993,YR1993,..,..,0.57030314207077,42.740852355957,11.9221201939403,0,0,0,..,..,0
Cambodia,KHM,1994,YR1994,..,..,2.76906442642212,45.3739929199219,11.0042865343222,0,0,0,..,..,0
Cambodia,KHM,1995,YR1995,..,..,4.95864868164062,48.0040435791016,10.1076652933859,0,0,87615.7,82.5342521690724,198,106156.774548
Cambodia,KHM,1996,YR1996,..,..,7.13599586486816,50.6299705505371,10.0288823372746,0,0,91592.2,82.7662882292416,251,110663.655408
Cambodia,KHM,1997,YR1997,..,..,9.29804801940918,53.2507438659668,9.64904166077226,0,0,92177.26,82.196255995888,318,112142.893716
Cambodia,KHM,1998,YR1998,..,12.29,18.67,55.98,10.4604612503124,0,0,103366.1,82.0002744640442,379,126055.797588
Cambodia,KHM,1999,YR1999,..,3.39030813610074,13.5640296936035,58.4727096557617,9.35886602232242,0,0,101951.3,81.6748898201216,404,124825.757616
Cambodia,KHM,2000,YR2000,4.66,9,16.6,60.6,8.54420691439083,1,0.223214285714286,99952.7,81.1360755329419,448,123191.440236
Cambodia,KHM,2001,YR2001,5.18,7.17944505922847,17.7442817687988,63.6668243408203,7.94969451125015,1,0.196463654223969,98686.88,79.5879971818487,509,123997.189896
Cambodia,KHM,2002,YR2002,5.69,9.04532775817105,19.8128566741943,66.2585525512695,8.67717796166148,30,4.12087912087912,119916.1,83.0197597320676,728,144442.841544
Cambodia,KHM,2003,YR2003,6.22,7.72458922084207,19.3,68.8504867553711,8.2379393982218,49,6.42201834862385,121664.6,82.0680974003866,763,148248.349668
Cambodia,KHM,2004,YR2004,6.73,12.753463327995,23.9372177124023,71.445442199707,6.14948283849092,42,5.15337423312883,93543.71,78.2070673425612,814,119610.302724
Cambodia,KHM,2005,YR2005,7.35,12.6,20.5,66.8,5.5047352644213,59,6.12033195020747,91018.4,76.0703302002698,964,119650.328532
Cambodia,KHM,2006,YR2006,7.98,16.474122279251,28.0849475860596,76.6556701660156,4.95998433203015,68,5.76759966072943,87909.15,73.855803887005,1176,119028.086316
